Gap ID,Role/Entity,Stage,Gap Type,Current State,Required State,3NF Impact,SSOT Impact,RBAC Impact,Severity,Effort,Dependency,Status,Closed By
GAP-001,All Project Roles,0 (Structural),Schema Gap,"platform_role enum shared between organization_members and project_members","CHECK constraints on both tables enforce semantic separation",High,High,Medium,P1,Medium,None,CLOSED,Migration 011 + role reassignment audit trigger
GAP-002,All Project Roles,1 (Discovery),Schema Gap,"No sourcing/pipeline table for talent crew staff press guest attendee","people table with CRM/HR fields classification codes recall pool",Medium,High,Low,P1,Large,None,CLOSED,Migration 009 (people table)
GAP-003,All Project Roles,2 (Qualification),Schema Gap,"No qualification_checks or compliance_documents tables","qualification_checks + qualification_requirements tables with per-role check matrix",High,High,High,P0,Large,None,CLOSED,Migration 007
GAP-004,All Project Roles,2 (Qualification),Data Gap,"documents table has no compliance-specific type values","Documents type constraint expanded to 22 valid types",Low,Medium,Low,P2,Small,GAP-003,CLOSED,Migration 013 (final expansion)
GAP-005,crew/staff/talent/vendor,2 (Qualification),Workflow Gap,"No stage gate: qualification must complete before onboarding","enforce_qualification_gate trigger blocks advance without verified checks",Medium,High,High,P0,Medium,GAP-003,CLOSED,Migration 012
GAP-006,All Project Roles,3 (Onboarding),Workflow Gap,"project_member_lifecycles defaults to discovery; no automated advance","auto_advance_on_profile_complete trigger advances discovery→qualification on profile update",Low,Medium,Medium,P2,Small,None,CLOSED,Migration 012
GAP-007,talent/vendor/crew/staff,4 (Contracting),Schema Gap,"No contracts table; no contract_status enum","contracts table with 9 types 8 statuses state machine audit trail",High,High,Medium,P0,Large,None,CLOSED,Migration 008
GAP-008,talent/vendor,4 (Contracting),Integration Gap,"No rider counter-sign tracking for advancing gate","Contract status must reach executed before lifecycle advances past contracting",Medium,High,Low,P1,Medium,GAP-007,CLOSED,Migration 008
GAP-009,crew/staff,5 (Scheduling),Schema Gap,"No shifts table","shifts table with status enum schedule sync RLS",High,High,Medium,P0,Large,None,CLOSED,Migration 009
GAP-010,crew/staff,5 (Scheduling),Workflow Gap,"No union rule enforcement on shift scheduling","shift_rules table with union affiliation meal penalty thresholds rest periods OT calculations",Medium,Medium,Low,P2,Medium,GAP-009,CLOSED,Migration 012
GAP-011,talent/crew/staff,5 (Scheduling),Schema Gap,"No travel/lodging/per-diem tracking","travel_arrangements table with 9 types 7 statuses RLS",Medium,Medium,Low,P2,Medium,None,CLOSED,Migration 012
GAP-012,talent,6 (Advancing),Workflow Gap,"Rider submitted but no rider-fulfilled tracking","rider_fulfillment bridge table linking rider items to catalog allocations",Medium,High,Low,P1,Medium,None,CLOSED,Migration 012
GAP-013,press,6 (Advancing),UI Gap,"No press credential advance flow","Media & Press catalog group with photo passes media pool press kits interview scheduling categories",Low,Medium,Medium,P2,Medium,None,CLOSED,Migration 013 (catalog seed)
GAP-014,attendee,7 (Deployment),RLS Gap,"ticket_tiers tickets ticket_transfers ticket_scans ticket_promo_codes have ZERO RLS policies","Full RLS on all 5 ticketing tables with holder-scope and internal-scope policies",Low,Low,High,P0,Medium,None,CLOSED,Migration 010
GAP-015,All Project Roles,7 (Deployment),Schema Gap,"No asset handoff tracking during deployment","deployment_handoffs table with condition tracking photo documentation signature URL",Low,Medium,Low,P2,Small,None,CLOSED,Migration 012
GAP-016,All Project Roles,7 (Deployment),Workflow Gap,"No briefing/orientation acknowledgment record","onsite_briefings + briefing_acknowledgments tables with role-scoped requirements",Low,Low,Low,P3,Small,None,CLOSED,Migration 012
GAP-017,All Project Roles,8 (Active Ops),Schema Gap,"No incident logging table","incidents table with severity status location assignment resolution tracking audit trail",Medium,Medium,Medium,P1,Medium,None,CLOSED,Migration 012
GAP-018,All Project Roles,8 (Active Ops),Schema Gap,"No change order system","change_orders table with 6 types 6 statuses impact tracking approval flow",Medium,Medium,Medium,P2,Medium,None,CLOSED,Migration 012
GAP-019,All Project Roles,9 (Demobilization),Workflow Gap,"No damage assessment form","damage_photo_id damage_cost_estimate insurance_claim_filed damage_notes columns on catalog_item_allocations",Low,Medium,Low,P2,Small,None,CLOSED,Migration 012
GAP-020,All Project Roles,10 (Settlement),Schema Gap,"No invoices timesheets or expenses tables in Supabase","invoices expenses timesheets tables with full RLS audit trail",High,High,High,P0,Large,None,CLOSED,Migration 009
GAP-021,crew/staff,10 (Settlement),Schema Gap,"No timesheet submission or pay calculation","timesheets table with computed total_pay approval workflow shift linkage",High,High,Medium,P0,Large,GAP-009,CLOSED,Migration 009
GAP-022,vendor,10 (Settlement),Schema Gap,"No vendor invoice intake pipeline","invoices table with PO linkage + v_three_way_match view for PO→receiving→invoice match",Medium,High,Medium,P1,Medium,GAP-020,CLOSED,Migration 009 + 013
GAP-023,All Project Roles,11 (Reconciliation),Schema Gap,"No budget_actuals tax_forms or reconciliation_records tables","v_project_budget_actuals view aggregating POs invoices expenses timesheets contracts",High,High,Medium,P1,Large,GAP-020,CLOSED,Migration 013
GAP-024,vendor/talent/crew,11 (Reconciliation),Schema Gap,"No tax reporting (1099/W2) tracking","tax_documents table with type fiscal_year amounts filing status",Medium,High,Low,P2,Medium,GAP-020,CLOSED,Migration 013
GAP-025,All Project Roles,12 (Archival),Schema Gap,"No performance rating table; no recall pool","member_performance_reviews table with multi-dimensional ratings recall flag; sync to people.in_recall_pool",Low,Medium,Low,P3,Small,None,CLOSED,Migration 013
GAP-026,All Project Roles,12 (Archival),Workflow Gap,"No document retention policy enforcement","archived_at + retention_until columns; enforce_document_retention trigger blocks premature deletion",Low,Medium,Low,P3,Small,None,CLOSED,Migration 013
GAP-027,All Project Roles,13 (Closeout),Audit Gap,"No record immutability trigger on closed projects","enforce_project_immutability trigger on deliverables POs credential_orders contracts allocations",Medium,High,Medium,P1,Medium,None,CLOSED,Migration 010
GAP-028,All Project Roles,13 (Closeout),Schema Gap,"No lessons-learned capture table","project_retrospectives table with 6 categories priority assignment resolution tracking",Low,Low,Low,P3,Small,None,CLOSED,Migration 013
GAP-029,crew/staff/vendor/press/attendee/management,3-8 (Portal),UI Gap,"Missing portal tracks","staff press attendee management portal landing pages created",Medium,Medium,High,P1,Large,None,CLOSED,Portal page files
GAP-030,All Project Roles,1-13 (Middleware),RLS Gap,"middleware.ts only checks auth; no role-based routing","ROLE_TRACK_MAP in middleware redirects /p/[slug]/overview to role-specific track",Low,Low,High,P1,Medium,None,CLOSED,middleware.ts + types.ts
GAP-031,All Project Roles,1 (Discovery),Schema Gap,"No classification_code column on advance_items","unspsc_code nigp_code naics_code text columns added with partial indexes",Medium,High,Low,P2,Medium,None,CLOSED,Migration 012
GAP-032,ATLVS venues,N/A,RLS Gap,"atlvs_venues and related tables have no RLS policies","Dynamic RLS enabled on all atlvs_* tables: public read admin write",Low,Low,High,P0,Small,None,CLOSED,Migration 010
GAP-033,All Project Roles,0 (Structural),Schema Gap,"project_members has no employment_class jurisdiction or union_status","employment_class jurisdiction union_affiliation columns added to project_members",High,High,Low,P1,Medium,None,CLOSED,Migration 010
GAP-034,All Project Roles,1-13 (Lifecycle),Audit Gap,"Lifecycle stage transitions not written to audit_log","audit_lifecycle_transition trigger writes to audit_log on every stage change",Low,Medium,Low,P1,Small,None,CLOSED,Migration 010
GAP-035,All Project Roles,1-13 (Lifecycle),Schema Gap,"project_member_lifecycles has no transition_history","lifecycle_transition_log table with from/to stages transitioned_by notes; auto-populated via trigger",Medium,High,Low,P2,Small,None,CLOSED,Migration 012
GAP-036,All (ERP),10-11 (Settlement/Recon),Schema Gap,"database-erp.ts defines Person Invoice Expense interfaces but no Supabase tables","people invoices expenses tables created matching and superseding the TS interfaces",High,High,High,P0,Large,GAP-020,CLOSED,Migration 009
GAP-037,All Project Roles,0 (Structural),Schema Gap,"Duplicate migration filename","Renamed 20260417000004_link_public_locations.sql → 20260417000006_link_public_locations.sql",Low,Low,Low,P1,Trivial,None,CLOSED,File rename
GAP-038,All Project Roles,0 (Structural),RLS Gap,"is_internal_on_project() references dead platform roles (developer/owner/admin/team_member) and omits management","Replaced with project-only roles: executive/production/management",High,Medium,High,P0,Small,GAP-001,CLOSED,Migration 014
GAP-039,staff,5-8 (Scheduling-Ops),RLS Gap,"is_talent_on_project() lists management/talent/crew but omits staff","Added staff to talent-equivalent gate for event-day ops access",Medium,Low,High,P1,Trivial,None,CLOSED,Migration 014
GAP-040,ATLVS lookup tables,N/A,RLS Gap,"8 ATLVS lookup tables (countries districts features localities region_level_1 region_level_2 venue_types venue_type_assignments) have no RLS — dynamic loop in migration 010 only targets 'atlvs_%' prefix","RLS enabled with public-read admin-write policies on all 8 tables",Low,Low,High,P0,Small,None,CLOSED,Migration 014
GAP-041,All (ERP),N/A,Type Safety Gap,"database-erp.ts contains stale conflicting types (InvoiceStatus missing values EmploymentType case mismatch)","Replaced with deprecation notices and re-exports from canonical types.ts",Medium,High,Low,P1,Trivial,None,CLOSED,database-erp.ts rewrite
GAP-042,All Project Roles,0 (Structural),Documentation Gap,"ProjectRole JSDoc comment says 'distinction is semantic not structural' — factually wrong after CHECK constraints","Updated comment to document CHECK constraint enforcement from migration 011",Low,Low,Low,P2,Trivial,GAP-001,CLOSED,types.ts comment fix
GAP-043,vendor,N/A (Portal),Enum Gap,"portal_track enum missing 'vendor' value — CMS pages cannot target vendor portal track","Added 'vendor' to portal_track enum",Low,Low,Medium,P1,Trivial,None,CLOSED,Migration 015
GAP-044,All,N/A (Types),Type Drift,"database.types.ts is stale — zero of 22 new tables from migrations 007-014 are present in auto-generated types","Regenerated via supabase gen types --local (8276 lines); all 22 tables and 19 enums now present",Medium,Medium,Low,P2,Small,None,CLOSED,supabase gen types --local
GAP-045,ATLVS,N/A (Schema),Migration Bug,"ATLVS venue schema uses uuid_generate_v4() via uuid-ossp extension which fails on local Supabase","Replaced all uuid_generate_v4() with gen_random_uuid() matching rest of codebase",High,Low,Low,P0,Trivial,None,CLOSED,Migration 001 fix
GAP-046,Financial,10-11 (Settlement/Recon),Migration Bug,"v_three_way_match references po.total_amount and rr.purchase_order_id which don't exist (actual: po.total rr.po_id)","Fixed column references in migration 013",High,Low,Low,P0,Trivial,None,CLOSED,Migration 013 fix
GAP-047,ATLVS,N/A (RLS),Migration Bug,"Migration 014 references ATLVS tables without atlvs. schema qualifier — tables exist in atlvs schema not public","Added atlvs. prefix and public. prefix for cross-schema org_members lookup",High,Low,High,P0,Trivial,GAP-040,CLOSED,Migration 014 fix
